t_id,subtipo,tipo
Apple 293.png,Apple A,Apple
Apple 294.png,Apple A,Apple
Apple 295.png,Apple A,Apple
Apple 296.png,Apple A,Apple
Apple 297.png,Apple A,Apple
Apple 298.png,Apple A,Apple
Apple 299.png,Apple A,Apple
Apple 3.png,Apple A,Apple
Apple 30.png,Apple A,Apple
Apple 300.png,Apple A,Apple
Apple 301.png,Apple A,Apple
Apple 302.png,Apple A,Apple
Apple 303.png,Apple A,Apple
Apple 304.png,Apple A,Apple
Apple 305.png,Apple A,Apple
Apple 306.png,Apple A,Apple
Apple 307.png,Apple A,Apple
Apple 308.png,Apple A,Apple
Apple 309.png,Apple A,Apple
Apple 31.png,Apple A,Apple
Apple 310.png,Apple A,Apple
Apple 311.png,Apple A,Apple
Apple 312.png,Apple A,Apple
Apple 313.png,Apple A,Apple
Apple 314.png,Apple A,Apple
Apple 315.png,Apple A,Apple
Apple 316.png,Apple A,Apple
Apple 317.png,Apple A,Apple
Apple 318.png,Apple A,Apple
Apple 319.png,Apple A,Apple
Apple 32.png,Apple A,Apple
Apple 320.png,Apple A,Apple
Apple 321.png,Apple A,Apple
Apple 322.png,Apple A,Apple
Apple 323.png,Apple A,Apple
Apple 324.png,Apple A,Apple
Apple 325.png,Apple A,Apple
Apple 326.png,Apple A,Apple
Apple 327.png,Apple A,Apple
Apple 328.png,Apple A,Apple
Apple 329.png,Apple A,Apple
Apple 33.png,Apple A,Apple
Apple 330.png,Apple A,Apple
Apple 331.png,Apple A,Apple
Apple 332.png,Apple A,Apple
Apple 333.png,Apple A,Apple
Apple 334.png,Apple A,Apple
Apple 335.png,Apple A,Apple
Apple 336.png,Apple A,Apple
Apple 337.png,Apple A,Apple
Apple 338.png,Apple A,Apple
Apple 339.png,Apple A,Apple
Apple 34.png,Apple A,Apple
Apple 340.png,Apple A,Apple
Apple 341.png,Apple A,Apple
Apple 342.png,Apple A,Apple
Apple 343.png,Apple A,Apple
Apple 344.png,Apple A,Apple
Apple 345.png,Apple A,Apple
Apple 346.png,Apple A,Apple
Apple 347.png,Apple A,Apple
Apple 348.png,Apple A,Apple
Apple 349.png,Apple A,Apple
Apple 35.png,Apple A,Apple
Apple 350.png,Apple A,Apple
Apple 351.png,Apple A,Apple
Apple 352.png,Apple A,Apple
Apple 353.png,Apple A,Apple
Apple 354.png,Apple A,Apple
Apple 355.png,Apple A,Apple
Apple 356.png,Apple A,Apple
Apple 357.png,Apple A,Apple
Apple 358.png,Apple A,Apple
Apple 359.png,Apple A,Apple
Apple 36.png,Apple A,Apple
Apple 360.png,Apple A,Apple
Apple 361.png,Apple A,Apple
Apple 362.png,Apple A,Apple
Apple 363.png,Apple A,Apple
Apple 364.png,Apple A,Apple
Apple 365.png,Apple A,Apple
Apple 366.png,Apple A,Apple
Apple 367.png,Apple A,Apple
Apple 368.png,Apple A,Apple
Apple 369.png,Apple A,Apple
Apple 37.png,Apple A,Apple
Apple 370.png,Apple A,Apple
Apple 371.png,Apple A,Apple
Apple 372.png,Apple A,Apple
Apple 373.png,Apple A,Apple
Apple 374.png,Apple A,Apple
Apple 375.png,Apple A,Apple
Apple 376.png,Apple A,Apple
Apple 377.png,Apple A,Apple
Apple 378.png,Apple A,Apple
Apple 379.png,Apple A,Apple
Apple 38.png,Apple A,Apple
Apple 380.png,Apple A,Apple
Apple 381.png,Apple A,Apple
Apple 382.png,Apple A,Apple
Apple 383.png,Apple A,Apple
Apple 384.png,Apple A,Apple
Apple 385.png,Apple A,Apple
Apple 386.png,Apple A,Apple
Apple 387.png,Apple A,Apple
Apple 388.png,Apple A,Apple
Apple 389.png,Apple A,Apple
Apple 39.png,Apple A,Apple
Apple 390.png,Apple A,Apple
Apple 391.png,Apple A,Apple
Apple 392.png,Apple A,Apple
Apple 393.png,Apple A,Apple
Apple 394.png,Apple A,Apple
Apple 395.png,Apple A,Apple
Apple 396.png,Apple A,Apple
Apple 397.png,Apple A,Apple
Apple 398.png,Apple A,Apple
Apple 399.png,Apple A,Apple
Apple 4.png,Apple A,Apple
Apple 40.png,Apple A,Apple
Apple 400.png,Apple A,Apple
Apple 401.png,Apple A,Apple
Apple 402.png,Apple A,Apple
Apple 403.png,Apple A,Apple
Apple 404.png,Apple A,Apple
Apple 405.png,Apple A,Apple
Apple 406.png,Apple A,Apple
Apple 407.png,Apple A,Apple
Apple 408.png,Apple A,Apple
Apple 409.png,Apple A,Apple
Apple 41.png,Apple A,Apple
Apple 410.png,Apple A,Apple
Apple 411.png,Apple A,Apple
Apple 412.png,Apple A,Apple
Apple 413.png,Apple A,Apple
Apple 414.png,Apple A,Apple
Apple 415.png,Apple A,Apple
Apple 416.png,Apple A,Apple
Apple 417.png,Apple A,Apple
Apple 418.png,Apple A,Apple
Apple 419.png,Apple A,Apple
Apple 42.png,Apple A,Apple
Apple 420.png,Apple A,Apple
Apple 421.png,Apple A,Apple
Apple 422.png,Apple A,Apple
Apple 423.png,Apple A,Apple
Apple 424.png,Apple A,Apple
Apple 425.png,Apple A,Apple
Apple 426.png,Apple A,Apple
Apple 427.png,Apple A,Apple
Apple 428.png,Apple A,Apple
Apple 429.png,Apple A,Apple
Apple 43.png,Apple A,Apple
Apple 430.png,Apple A,Apple
Apple 431.png,Apple A,Apple
Apple 432.png,Apple A,Apple
Apple 433.png,Apple A,Apple
Apple 434.png,Apple A,Apple
Apple 435.png,Apple A,Apple
Apple 436.png,Apple A,Apple
Apple 437.png,Apple A,Apple
Apple 438.png,Apple A,Apple
Apple 439.png,Apple A,Apple
Apple 44.png,Apple A,Apple
Apple 440.png,Apple A,Apple
Apple 441.png,Apple A,Apple
Apple 442.png,Apple A,Apple
Apple 443.png,Apple A,Apple
Apple 444.png,Apple A,Apple
Apple 445.png,Apple A,Apple
Apple 446.png,Apple A,Apple
Apple 447.png,Apple A,Apple
Apple 448.png,Apple A,Apple
Apple 449.png,Apple A,Apple
Apple 45.png,Apple A,Apple
Apple 450.png,Apple A,Apple
Apple 451.png,Apple A,Apple
Apple 452.png,Apple A,Apple
Apple 453.png,Apple A,Apple
Apple 454.png,Apple A,Apple
Apple 455.png,Apple A,Apple
Apple 456.png,Apple A,Apple
Apple 457.png,Apple A,Apple
Apple 458.png,Apple A,Apple
Apple 459.png,Apple A,Apple
Apple 46.png,Apple A,Apple
Apple 460.png,Apple A,Apple
Apple 461.png,Apple A,Apple
Apple 462.png,Apple A,Apple
Apple 463.png,Apple A,Apple
Apple 464.png,Apple A,Apple
Apple 465.png,Apple A,Apple
Apple 466.png,Apple A,Apple
Apple 467.png,Apple A,Apple
Apple 468.png,Apple A,Apple
Apple 469.png,Apple A,Apple
Apple 47.png,Apple A,Apple
Apple 470.png,Apple A,Apple
Apple 471.png,Apple A,Apple
Apple 472.png,Apple A,Apple
Apple 473.png,Apple A,Apple
Apple 474.png,Apple A,Apple
Apple 475.png,Apple A,Apple
Apple 476.png,Apple A,Apple
Apple 477.png,Apple A,Apple
Apple 478.png,Apple A,Apple
Apple 479.png,Apple A,Apple
Apple 48.png,Apple A,Apple
Apple 480.png,Apple A,Apple
Apple 481.png,Apple A,Apple
Apple 482.png,Apple A,Apple
Apple 483.png,Apple A,Apple
Apple 484.png,Apple A,Apple
Apple 485.png,Apple A,Apple
Apple 486.png,Apple A,Apple
Apple 487.png,Apple A,Apple
Apple 488.png,Apple A,Apple
Apple 489.png,Apple A,Apple
Apple 49.png,Apple A,Apple
Apple 490.png,Apple A,Apple
Apple 491.png,Apple A,Apple
Apple 492.png,Apple A,Apple
Apple 493.png,Apple A,Apple
Apple 494.png,Apple A,Apple
Apple 495.png,Apple A,Apple
Apple 496.png,Apple A,Apple
Apple 497.png,Apple A,Apple
Apple 498.png,Apple A,Apple
Apple 499.png,Apple A,Apple
Apple 5.png,Apple A,Apple
Apple 50.png,Apple A,Apple
Apple 500.png,Apple A,Apple
Apple 501.png,Apple A,Apple
Apple 502.png,Apple A,Apple
Apple 503.png,Apple A,Apple
Apple 504.png,Apple A,Apple
Apple 505.png,Apple A,Apple
Apple 506.png,Apple A,Apple
Apple 507.png,Apple A,Apple
Apple 508.png,Apple A,Apple
Apple 509.png,Apple A,Apple
Apple 51.png,Apple A,Apple
Apple 510.png,Apple A,Apple
Apple 511.png,Apple A,Apple
Apple 512.png,Apple A,Apple
Apple 513.png,Apple A,Apple
Apple 514.png,Apple A,Apple
Apple 515.png,Apple A,Apple
Apple 516.png,Apple A,Apple
Apple 517.png,Apple A,Apple
Apple 518.png,Apple A,Apple
Apple 519.png,Apple A,Apple
Apple 52.png,Apple A,Apple
Apple 520.png,Apple A,Apple
Apple 521.png,Apple A,Apple
Apple 522.png,Apple A,Apple
Apple 523.png,Apple A,Apple
Apple 524.png,Apple A,Apple
Apple 525.png,Apple A,Apple
Apple 526.png,Apple A,Apple
Apple 527.png,Apple A,Apple
Apple 528.png,Apple A,Apple
Apple 529.png,Apple A,Apple
Apple 53.png,Apple A,Apple
Apple 530.png,Apple A,Apple
Apple 531.png,Apple A,Apple
Apple 532.png,Apple A,Apple
Apple 533.png,Apple A,Apple
Apple 534.png,Apple A,Apple
Apple 535.png,Apple A,Apple
Apple 536.png,Apple A,Apple
Apple 537.png,Apple A,Apple
Apple 538.png,Apple A,Apple
Apple 539.png,Apple A,Apple
Apple 54.png,Apple A,Apple
Apple 540.png,Apple A,Apple
Apple 541.png,Apple A,Apple
Apple 542.png,Apple A,Apple
Apple 543.png,Apple A,Apple
Apple 544.png,Apple A,Apple
Apple 545.png,Apple A,Apple
Apple 546.png,Apple A,Apple
Apple 547.png,Apple A,Apple
Apple 548.png,Apple A,Apple
Apple 549.png,Apple A,Apple
Apple 55.png,Apple A,Apple
Apple 550.png,Apple A,Apple
Apple 551.png,Apple A,Apple
Apple 552.png,Apple A,Apple
Apple 553.png,Apple A,Apple
Apple 554.png,Apple A,Apple
Apple 555.png,Apple A,Apple
Apple 556.png,Apple A,Apple
Apple 557.png,Apple A,Apple
Apple 558.png,Apple A,Apple
Apple 559.png,Apple A,Apple
Apple 56.png,Apple A,Apple
Apple 560.png,Apple A,Apple
Apple 561.png,Apple A,Apple
Apple 562.png,Apple A,Apple
Apple 563.png,Apple A,Apple
Apple 564.png,Apple A,Apple
Apple 565.png,Apple A,Apple
Apple 566.png,Apple A,Apple
Apple 567.png,Apple A,Apple
Apple 568.png,Apple A,Apple
Apple 569.png,Apple A,Apple
Apple 57.png,Apple A,Apple
Apple 570.png,Apple A,Apple
Apple 571.png,Apple A,Apple
Apple 572.png,Apple A,Apple
Apple 573.png,Apple A,Apple
Apple 574.png,Apple A,Apple
Apple 575.png,Apple A,Apple
Apple 576.png,Apple A,Apple
Apple 577.png,Apple A,Apple
Apple 578.png,Apple A,Apple
Apple 579.png,Apple A,Apple
Apple 58.png,Apple A,Apple
Apple 580.png,Apple A,Apple
Apple 581.png,Apple A,Apple
Apple 582.png,Apple A,Apple
Apple 583.png,Apple A,Apple
Apple 584.png,Apple A,Apple
Apple 585.png,Apple A,Apple
Apple 586.png,Apple A,Apple
Apple 587.png,Apple A,Apple
Apple 588.png,Apple A,Apple
Apple 589.png,Apple A,Apple
Apple 59.png,Apple A,Apple
Apple 590.png,Apple A,Apple
Apple 591.png,Apple A,Apple
Apple 592.png,Apple A,Apple
Apple 593.png,Apple A,Apple
Apple 594.png,Apple A,Apple
Apple 595.png,Apple A,Apple
Apple 596.png,Apple A,Apple
Apple 597.png,Apple A,Apple
Apple 598.png,Apple A,Apple
Apple 599.png,Apple A,Apple
Apple 6.png,Apple A,Apple
Apple 60.png,Apple A,Apple
Apple 600.png,Apple A,Apple
Apple 601.png,Apple A,Apple
Apple 602.png,Apple A,Apple
Apple 603.png,Apple A,Apple
Apple 604.png,Apple A,Apple
Apple 605.png,Apple A,Apple
Apple 606.png,Apple A,Apple
Apple 607.png,Apple A,Apple
Apple 608.png,Apple A,Apple
Apple 609.png,Apple A,Apple
Apple 61.png,Apple A,Apple
Apple 610.png,Apple A,Apple
Apple 611.png,Apple A,Apple
Apple 612.png,Apple A,Apple
Apple 613.png,Apple A,Apple
Apple 614.png,Apple A,Apple
Apple 615.png,Apple A,Apple
Apple 616.png,Apple A,Apple
Apple 617.png,Apple A,Apple
Apple 618.png,Apple A,Apple
Apple 619.png,Apple A,Apple
Apple 62.png,Apple A,Apple
Apple 620.png,Apple A,Apple
Apple 621.png,Apple A,Apple
Apple 622.png,Apple A,Apple
Apple 623.png,Apple A,Apple
Apple 624.png,Apple A,Apple
Apple 625.png,Apple A,Apple
Apple 626.png,Apple A,Apple
Apple 627.png,Apple A,Apple
Apple 628.png,Apple A,Apple
Apple 629.png,Apple A,Apple
Apple 63.png,Apple A,Apple
Apple 630.png,Apple A,Apple
Apple 631.png,Apple A,Apple
Apple 632.png,Apple A,Apple
Apple 633.png,Apple A,Apple
Apple 634.png,Apple A,Apple
Apple 635.png,Apple A,Apple
Apple 636.png,Apple A,Apple
Apple 637.png,Apple A,Apple
Apple 638.png,Apple A,Apple
Apple 639.png,Apple A,Apple
Apple 64.png,Apple A,Apple
Apple 640.png,Apple A,Apple
Apple 641.png,Apple A,Apple
Apple 642.png,Apple A,Apple
Apple 643.png,Apple A,Apple
Apple 644.png,Apple A,Apple
Apple 645.png,Apple A,Apple
Apple 646.png,Apple A,Apple
Apple 647.png,Apple A,Apple
Apple 648.png,Apple A,Apple
Apple 649.png,Apple A,Apple
Apple 65.png,Apple A,Apple
Apple 650.png,Apple A,Apple
Apple 651.png,Apple A,Apple
Apple 652.png,Apple A,Apple
Apple 653.png,Apple A,Apple
Apple 654.png,Apple A,Apple
Apple 655.png,Apple A,Apple
Apple 656.png,Apple A,Apple
Apple 657.png,Apple A,Apple
Apple 658.png,Apple A,Apple
Apple 659.png,Apple A,Apple
Apple 66.png,Apple A,Apple
Apple 660.png,Apple A,Apple
Apple 661.png,Apple A,Apple
Apple 662.png,Apple A,Apple
Apple 663.png,Apple A,Apple
Apple 664.png,Apple A,Apple
Apple 665.png,Apple A,Apple
Apple 666.png,Apple A,Apple
Apple 667.png,Apple A,Apple
Apple 668.png,Apple A,Apple
Apple 669.png,Apple A,Apple
Apple 67.png,Apple A,Apple
Apple 670.png,Apple A,Apple
Apple 671.png,Apple A,Apple
Apple 672.png,Apple A,Apple
Apple 673.png,Apple A,Apple
Apple 674.png,Apple A,Apple
Apple 675.png,Apple A,Apple
Apple 676.png,Apple A,Apple
Apple 677.png,Apple A,Apple
Apple 678.png,Apple A,Apple
Apple 679.png,Apple A,Apple
Apple 68.png,Apple A,Apple
Apple 680.png,Apple A,Apple
Apple 681.png,Apple A,Apple
Apple 682.png,Apple A,Apple
Apple 683.png,Apple A,Apple
Apple 684.png,Apple A,Apple
Apple 685.png,Apple A,Apple
Apple 686.png,Apple A,Apple
Apple 687.png,Apple A,Apple
Apple 688.png,Apple A,Apple
Apple 689.png,Apple A,Apple
Apple 69.png,Apple A,Apple
Apple 690.png,Apple A,Apple
Apple 691.png,Apple A,Apple
Apple 692.png,Apple A,Apple
Apple 7.png,Apple A,Apple
Apple 70.png,Apple A,Apple
Apple 71.png,Apple A,Apple
Apple 72.png,Apple A,Apple
Apple 73.png,Apple A,Apple
Apple 74.png,Apple A,Apple
Apple 75.png,Apple A,Apple
Apple 76.png,Apple A,Apple
Apple 77.png,Apple A,Apple
Apple 78.png,Apple A,Apple
Apple 79.png,Apple A,Apple
Apple 8.png,Apple A,Apple
Apple 80.png,Apple A,Apple
Apple 81.png,Apple A,Apple
Apple 82.png,Apple A,Apple
Apple 83.png,Apple A,Apple
Apple 84.png,Apple A,Apple
Apple 85.png,Apple A,Apple
Apple 86.png,Apple A,Apple
Apple 87.png,Apple A,Apple
Apple 88.png,Apple A,Apple
Apple 89.png,Apple A,Apple
Apple 9.png,Apple A,Apple
Apple 90.png,Apple A,Apple
Apple 91.png,Apple A,Apple
Apple 92.png,Apple A,Apple
Apple 93.png,Apple A,Apple
Apple 94.png,Apple A,Apple
Apple 95.png,Apple A,Apple
Apple 96.png,Apple A,Apple
Apple 97.png,Apple A,Apple
Apple 98.png,Apple A,Apple
Apple 99.png,Apple A,Apple
102red applee00901102.png,Apple B,Apple
103red applee00916103.png,Apple B,Apple
107red applee01001107.png,Apple B,Apple
108red applee01006108.png,Apple B,Apple
109red applee01021109.png,Apple B,Apple
110red applee01036110.png,Apple B,Apple
111red applee01081111.png,Apple B,Apple
112red applee01096112.png,Apple B,Apple
113red applee01101113.png,Apple B,Apple
11red applee04901.png,Apple B,Apple
120red applee01276120.png,Apple B,Apple
121red applee01291121.png,Apple B,Apple
122red applee01301122.png,Apple B,Apple
130red applee01411130.png,Apple B,Apple
132red applee01441132.png,Apple B,Apple
134red applee01471134.png,Apple B,Apple
135red applee01486135.png,Apple B,Apple
136red applee01501136.png,Apple B,Apple
137red applee01516137.png,Apple B,Apple
141red applee01576141.png,Apple B,Apple
143red applee01606143.png,Apple B,Apple
144red applee01621144.png,Apple B,Apple
145red applee01636145.png,Apple B,Apple
146red applee01701146.png,Apple B,Apple
147red applee01726147.png,Apple B,Apple
148red applee01741148.png,Apple B,Apple
149red applee01786149.png,Apple B,Apple
14red applee05201.png,Apple B,Apple
150red applee01801150.png,Apple B,Apple
152red applee01831152.png,Apple B,Apple
153red applee01846153.png,Apple B,Apple
154red applee01861154.png,Apple B,Apple
157red applee01901157.png,Apple B,Apple
158red applee01906158.png,Apple B,Apple
159red applee01921159.png,Apple B,Apple
15red applee05301.png,Apple B,Apple
160red applee01936160.png,Apple B,Apple
161red applee01966161.png,Apple B,Apple
162red applee01996162.png,Apple B,Apple
163red applee02001163.png,Apple B,Apple
164red applee02026164.png,Apple B,Apple
165red applee02056165.png,Apple B,Apple
166red applee02071166.png,Apple B,Apple
167red applee02086167.png,Apple B,Apple
168red applee02101168.png,Apple B,Apple
169red applee02116169.png,Apple B,Apple
170red applee02161170.png,Apple B,Apple
171red applee02176171.png,Apple B,Apple
172red applee02191172.png,Apple B,Apple
173red applee02206173.png,Apple B,Apple
174red applee02296174.png,Apple B,Apple
175red applee02301175.png,Apple B,Apple
177red applee02341177.png,Apple B,Apple
17red applee05601.png,Apple B,Apple
181red applee02401181.png,Apple B,Apple
183red applee02431183.png,Apple B,Apple
184red applee02501184.png,Apple B,Apple
185red applee02506185.png,Apple B,Apple
187red applee02536187.png,Apple B,Apple
189red applee02566189.png,Apple B,Apple
18red applee06701.png,Apple B,Apple
190red applee02581190.png,Apple B,Apple
191red applee02596191.png,Apple B,Apple
192red applee02601192.png,Apple B,Apple
193red applee02611193.png,Apple B,Apple
194red applee02626194.png,Apple B,Apple
1red applee02901.png,Apple B,Apple
204red applee02776204.png,Apple B,Apple
206red applee02801206.png,Apple B,Apple
20red applee07601.png,Apple B,Apple
212red applee02896212.png,Apple B,Apple
213red applee02901213.png,Apple B,Apple
214red applee02911214.png,Apple B,Apple
215red applee02926215.png,Apple B,Apple
216red applee02941216.png,Apple B,Apple
217red applee02956217.png,Apple B,Apple
218red applee03001218.png,Apple B,Apple
219red applee03016219.png,Apple B,Apple
21red applee07701.png,Apple B,Apple
224red applee03091224.png,Apple B,Apple
225red applee03101225.png,Apple B,Apple
226red applee03106226.png,Apple B,Apple
22red applee07901.png,Apple B,Apple
233red applee03201233.png,Apple B,Apple
237red applee03301237.png,Apple B,Apple
239red applee03331239.png,Apple B,Apple
23red applee08601.png,Apple B,Apple
243red applee03436243.png,Apple B,Apple
244red applee03466244.png,Apple B,Apple
246red applee03496246.png,Apple B,Apple
247red applee03501247.png,Apple B,Apple
248red applee03511248.png,Apple B,Apple
249red applee03526249.png,Apple B,Apple
24red applee08701.png,Apple B,Apple
253red applee03601253.png,Apple B,Apple
259red applee03691259.png,Apple B,Apple
25red applee09501.png,Apple B,Apple
260red applee03701260.png,Apple B,Apple
261red applee03706261.png,Apple B,Apple
263red applee03751263.png,Apple B,Apple
264red applee03766264.png,Apple B,Apple
265red applee03781265.png,Apple B,Apple
266red applee03796266.png,Apple B,Apple
267red applee03801267.png,Apple B,Apple
268red applee03811268.png,Apple B,Apple
26red applee09701.png,Apple B,Apple
271red applee03856271.png,Apple B,Apple
272red applee03871272.png,Apple B,Apple
273red applee03886273.png,Apple B,Apple
274red applee03901274.png,Apple B,Apple
275red applee03916275.png,Apple B,Apple
276red applee03931276.png,Apple B,Apple
277red applee03946277.png,Apple B,Apple
278red applee03961278.png,Apple B,Apple
279red applee03976279.png,Apple B,Apple
27red applee10301.png,Apple B,Apple
280red applee03991280.png,Apple B,Apple
